parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09L7RZ96X,Simple Modern 64 Ounce Summit Water Bottle - Stainless Steel Half Gallon Flask +2 Lids - Wide Mouth Double Wall Vacuum Insulated Leakproof - Midnight Black,4957,4.8,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/71g2V10MsFL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08LFT5X1P,"Simple Modern Insulated Water Bottle with Handle Lid Reusable Ascent Narrow Mouth Stainless Steel Thermos Flask, 24oz Handle Lid, -Winter White",4834,4.7,Amazon Home,Simple Modern,13.01,https://m.media-amazon.com/images/I/71+yQFHokbL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09N6YFQPD,STACEGEELE Insulated Vacuum Water Bottle with Spout Lid & Screw on Top | Stainless Steel Flask for Kids Leak Proof Lightweight Eco Friendly 18oz / 24oz / 32 oz / 40oz(40oz Aurora),4555,4.5,Amazon Home,STACEGEELE,24.99,https://m.media-amazon.com/images/I/51hGricbG-L._AC_SL1500_.jpg,True,OK (image/jpeg),
B093X1YNB9,"IRON °FLASK Kids Water Bottle - 14 Oz, Straw Lid, 20 Name Stickers, Vacuum Insulated Stainless Steel, Double Walled Tumbler Travel Cup, Thermo Mug, Metal Canteen (Magic Mermaids)",4319,4.7,Amazon Home,IRON °FLASK,19.95,https://m.media-amazon.com/images/I/81H2mdwhmFL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BFKFDBKJ,CHILLOUT LIFE 12 oz Insulated Water Bottle with Straw Lid for Kids and Adult + 20 Funny Waterproof Stickers - Perfect for Personalizing Your Kids Metal Water Bottle,4269,4.7,Amazon Home,CHILLOUT LIFE,14.95,https://m.media-amazon.com/images/I/81+ETVGNeBL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08MFNQFF7,Koverz XL Neoprene 32-40 oz Water Bottle Insulator Cooler Coolie - XL Realtree Fishing Red,4074,4.7,Amazon Home,Koverz,11.99,https://m.media-amazon.com/images/I/81K5Y0CPBDL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09V7Y74ZN,"Arslo Stainless Steel Double Wall Water Bottles, Vacuum Insulated Bottle With Straw Lid, Insulated Water Bottle Keeps Water Cold for 24 Hours, Hot for 12 Hours, Hiking, Sports",4043,4.6,Amazon Home,Arslo,14.39,https://m.media-amazon.com/images/I/61FdsFLVzlL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BJ74P24B,"Extremus Deluge Stainless Steel Vacuum Insulated Sports Water Bottle with 100% Leak-Proof Travel Lid, w/Paracord Survival Handle, 40 oz, White",3859,4.5,Amazon Home,Extremus,25.99,https://m.media-amazon.com/images/I/71VGDs+KkuS._AC_SL1500_.jpg,True,OK (image/jpeg),
B09J4M6QDR,"Diamond Water Bottle Bling Rhinestone Stainless Steel Thermal Bottle Refillable Water Bottle Insulated Water Bottle Glitter Water Bottle with Chain for Women Girls Gifts (Gold, 500 ml)",3370,4.6,Amazon Home,Geiserailie,26.99,https://m.media-amazon.com/images/I/81aPynNJYNL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09174SXVW,"koodee 32 oz Water Bottle with Wide Handle Straw Lid, Vacuum Insulated 18/8 Stainless Steel Wide Mouth Flask (Sky Blue)",3353,4.6,Amazon Home,koodee,17.22,https://m.media-amazon.com/images/I/71WW1Lf8P0L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07G69JJ15,Involve & Evolve Insulated Water Bottle with 3 Lids (Straw Lid) Kids Reusable Double Walled Stainless Steel Flask Metal Thermos 12oz 17oz 20oz 25oz,3192,4.7,Sports & Outdoors,Involve & Evolve,19.99,https://m.media-amazon.com/images/I/81iXhQqO13L._AC_SL1500_.jpg,,not checked,
B0BCNRTY89,"Tervis Harry Potter - Group Charms Tumbler with Wrap and Black with Gray Lid 24oz Water Bottle, Clear",3144,4.9,Amazon Home,Tervis,23.97,https://m.media-amazon.com/images/I/61Ih2psh3ML._AC_SL1000_.jpg,,not checked,Tervis insulated drinkware delivers the ultimate combination of personality and performance for pure drinking enjoyment Tervis Tumblers are double-wall insulated to keep hot drinks hot and cold drinks...
B084CJF4LZ,"BalanceFrom Double-Wall Vacuum Insulated Stainless Steel Water Bottle, 3 Caps Included, Wide Mouth and Standard Mouth, Multiple Colors and Sizes",2908,4.7,Sports & Outdoors,BalanceFrom,19.99,https://m.media-amazon.com/images/I/51HHQzdVa9L._AC_SL1500_.jpg,,not checked,
B07P88V45X,"Gold Armour Sports Water Bottle - 12oz, 16oz, 24oz with 2 Lids (Straw Lid), Vacuum Insulated Stainless Steel Flask, Modern Double Walled, Leak Proof, Simple Thermo Hydro Mug (Ombre: Star Fish, 12oz)",2434,4.7,Amazon Home,Gold Armour,10.99,https://m.media-amazon.com/images/I/61nco0UXJkL._AC_SL1288_.jpg,,not checked,
B087P5X1CG,"Simple Modern Ascent Handle Lid - Fits All Ascent and Hydro Flask Standard Mouth Water Bottle Sizes - Leak Proof, Double Wall Insulated - Black",2366,4.4,Amazon Home,Simple Modern,10.38,https://m.media-amazon.com/images/I/81HjqmtqXDL._AC_SL1500_.jpg,,not checked,
