parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0BQ4XFCNT,"Rancilio Silvia Espresso Machine with Iron Frame and Stainless Steel Side Panels, 11.4 by 13.4-Inch (Updated Black - 2020 Version)",84,4.2,Amazon Home,Rancilio,865.0,https://m.media-amazon.com/images/I/51nrxs1d9mL._AC_SL1000_.jpg,True,OK (image/jpeg),"If you are an espresso lover, you cannot fail to adore Silvia. Professional style, modern design, and new features: the Silvia is perfect for any décor and offers absolutely professional levels of per..."
B07GVCSZ38,BagTu Coffee Grinder Clean Brushes Set Grounds Cleaning Brush Espresso Machine Supply Accessories for Barista,72,4.5,Amazon Home,BagTu,,https://m.media-amazon.com/images/I/31dkRu9E7RL._AC_.jpg,True,OK (image/jpeg),
B08C24BMV1,"49mm Calibrated Pressure Espresso Tamper Tool, Barista Espresso Machine Tamper Flat Base, 30lbs Press, 304 Stainless Steel",68,4.7,Amazon Home,NuLink,,https://m.media-amazon.com/images/I/61DIrWB698L._AC_SL1500_.jpg,True,OK (image/jpeg),"Are you a coffee, espresso person? Do you need an aromatic coffee to wake you up in the morning? NuLink’s premium calibrated pressure tamper tool is a perfect coffee tamper tool in addition to the goo..."
B07H28TCLC,"BOWUTTD Espresso Machine Coffee Maker, 1.25L Coffee Machine,Cappuccino, Latte, Moka and Espresso Maker with Milk Frothing Arm for Home and Office, 1050W, 15 Bar Pump, Silver/Stainless Steel",67,3.9,Amazon Home,BOWUTTD,,https://m.media-amazon.com/images/I/71T6FOoreFL._AC_SL1500_.jpg,True,OK (image/jpeg),"Professional Espresso Maker lets you indulge in exceptional coffee, espresso, cappuccino or latte brewed to a high standard without the need to pay the inflated prices at coffee houses and cafes.It is..."
B0BNCDJ1D8,Crema Coffee Products | Tamping Mat | Non-Slip Silicone | Firm & Secure Mat | Protect Countertops & Portafilter | Espresso Machine Tamping Mat | Vent & Drip Tray Holes (Infuser),62,4.6,Amazon Home,CREMA COFFEE PRODUCTS,24.0,https://m.media-amazon.com/images/I/31SY4oLHn1L._AC_.jpg,True,OK (image/jpeg),"Pull the mat from the drip tray, tamp like there's no tomorrow, and tuck the mat conveniently back into it's home, protecting the tray from damage. And with our built-in vent and drip tray holes, it's..."
B0C6C7F88N,"ILAVIE Espresso Machines with Steamer, 20 Bar Pump Espresso and Cappuccino latte Maker, Espresso Machine Easy to Use for Home Barista, 1350W, Stainless Steel",54,4.3,Amazon Home,ILAVIE,169.99,https://m.media-amazon.com/images/I/61KU5C+pZ8L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07KXGRB75,3 Pcs Coffee Latte Art Pen Stainless Steel Tool Espresso Machine Cafe Home Kitchen for Latte Art use by PPX,52,4.4,Amazon Home,PPX,8.99,https://m.media-amazon.com/images/I/61meG0t2jTL._AC_SL1500_.jpg,True,OK (image/jpeg),✤100% Brand New And High Quality Espresso Art Pen  ✤Professional Latte Art Tool To Shape Beautiful Coffee Pattern  ✤Coffee Art Pen Made Of Stainless Steel Material  ✤Necessary tool for a cup of deciou...
B08L9QFTMP,"Nespresso Vertuo Next Coffee and Espresso Machine by De'Longhi, Dark Grey, Compact, One Touch to Brew, Single-Serve Coffee Maker and Espresso Machine (Renewed)",52,3.7,Amazon Home,Amazon Renewed,,https://m.media-amazon.com/images/I/6141JhJwETL._AC_SL1500_.jpg,True,OK (image/jpeg),"This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished ..."
B00F90YFHA,Saeco HD8954/47 Philips Xelsis EVO Fully Automatic Espresso Machine,49,3.4,Amazon Home,PHILIPS,,https://m.media-amazon.com/images/I/81tCTDxQiDL._AC_SL1500_.jpg,True,OK (image/jpeg),With Xelsis Evo espresso machine every family member can enjoy his or her favorite coffee. Thanks to the unique multi-user function up to 6 personal user profiles can be created and for each profile u...
B0009YDHO8,Krups XP4050 1200-Watt 15-Bar-Pump Programmable Espresso Machine,48,2.7,Amazon Home,KRUPS,,https://m.media-amazon.com/images/I/51SN5DV4GQL._AC_.jpg,True,OK (image/jpeg),"Beautifully designed with a stainless-steel front panel and simple-to-use controls, this 1200-watt programmable machine makes cafe-quality espresso, cappuccino, and latte. The machine comes equipped w..."
B0009YDHOS,"Krups XP 4000 Espresso Machine, Black",43,3.3,Amazon Home,KRUPS,250.0,https://m.media-amazon.com/images/I/41A92EXSY8L._AC_.jpg,,not checked,"With a sleek look and simple-to-use controls, this 1200-watt machine makes cafe-quality espresso, cappuccino, and latte at the touch of a button. The machine comes equipped with a Thermobloc 15-bar pu..."
B0C2PM2CRY,"Y-Step 22 PCS Coffee Tamper Set, Espresso Accessories Kit Barista Kit, with Espresso Tamper 51mm, Frothing Pitcher, Tamper Mat, Latte Art Pen, Coffee Stirrer, Sandalwood Tamper for Espresso Machine",40,4.5,Amazon Home,Y-Step,24.99,https://m.media-amazon.com/images/I/71Gt8TVlBwL._AC_SL1500_.jpg,,not checked,
B014Z1DF2E,UniTerra Nomad Espresso Machine - Cobalt Blue,38,4.0,Amazon Home,UniTerra,,https://m.media-amazon.com/images/I/81hzq8pVrJL._AC_SL1500_.jpg,,not checked,"Product Description The Nomad is a top quality café espresso maker. Inspired by the classic hand operated lever machines, the Nomad's Micro-Lever architecture eliminates the need for electricity, batt..."
B07438XZ7M,"Pamapic Portable Coffee Maker, Mini Electric Espresso Machine with Reusable K-cup Coffee Filter (Ground Coffee & Capsule Compatible), Quick Coffee Machine for Travel, Home, Office 【240ML, Black】",37,3.3,Amazon Home,Pamapic,,https://m.media-amazon.com/images/I/51DM+-V+A1L._AC_SL1167_.jpg,,not checked,"Pamapic portable coffee machine is elegantly designed and portable for outdoor enthusiasts, enjoying a cup of espresso coffee anytime, a cup of coffee not only solved the fatigue of the journey, but a..."
B0BW7L6ST8,"DK177 Coffee Mat Coffee Bar Mat - Hide Stain Absorbent Rubber Backed Quick Drying Mat Fit Under Coffee Maker Espresso Machine - Coffee Bar Accessories Kitchen Counter Dish Drying Mat, 19""x12""",32,4.8,Amazon Home,DK177,8.99,https://m.media-amazon.com/images/I/81zk7lpjgwL._AC_SL1500_.jpg,,not checked,"Wide Use: The coffee bar mat can be widely used on kitchen counter, coffee machine, coffee cup, water dispensers, dish rack pads, hot pots or hot dishes, dinner plates, tableware, etc., or as a food p..."
B08THBQT34,"54mm Bottomless Portafilter, Naked Portafilter Compatible with Breville BES880/878/875/870/840/810 for Espresso Machines Coffee Accessories with Wooden Handle&Filter Basket Included Stainless Steel",26,3.7,Amazon Home,WanderLand,37.99,https://m.media-amazon.com/images/I/61+5Z1tPujL._AC_SL1000_.jpg,,not checked,
