review_id,rating,length,vocab_decision,vocab_word_count,vocab_matches,llm_decision,llm_reason,agreement
AEUUC6D7UPWIX2MG4XLM2US5P7EA_1525297138774,5,53,pass,2,board;looking,fail,Review lacks specific visual details about the chess board.,False
AFB534TWMVLPKM5SCRSGIRT73AAA_1467638923000,5,97,fail,0,,fail,Review does not describe the product's visual appearance.,True
AFCQSGIVUVLYFO3VHKTKXWLEWXRQ_1507445093145,5,50,fail,0,,fail,Review lacks any visual description of the product.,True
AFBN74PJAE6AABZSFBALFJVEWFGA_1502152440586,5,233,pass,5,board;compartment;looks;ornate;pieces,pass,The review describes the size and ornate appearance of the pieces.,True
AEC5GV363RN4OLZUGDYZDOUYRQHA_1643081831619,5,165,pass,3,board;light;pieces,fail,Review lacks specific visual descriptions of the product's appearance.,False
AGMWHJJSC54QJ74Z7Z2WY4QA44VQ_1520136835065,5,296,pass,4,board;looks;pieces;sturdy,pass,The review mentions the unique look and quality of the chess set.,True
AGW6VUITM4LOVMUI2ZVQY2VRACZA_1537485932441,5,119,fail,0,,fail,Review lacks any visual description of the product's appearance.,True
AGS4M6TQXZYXXTCYIBZ7G45WNUEQ_1468970809000,5,60,fail,0,,fail,Review lacks specific visual details about the product's appearance.,True
AFEKZRSWRPTWDXSODNI7K2RZCNIQ_1637301177066,5,60,fail,0,,fail,Review does not provide any visual description of the product.,True
AEASWBVW5LTEAYMNAGH25Z2TTJAQ_1621555408669,5,46,fail,1,beautiful,fail,Review lacks specific visual details about the product's appearance.,True
AEPE7NUTABOZHJYJGITPEM5QFE6A_1486739639000,5,1720,pass,10,back;board;brown;dented;felt;huge;inside;pieces;solid;wood,pass,"The review describes the chess set's handmade pieces, size, and craftsmanship.",True
AFT5KUZ3OQZJGOVHPAUF7S4WDSGQ_1661003086771,5,35,fail,0,,fail,The review does not describe any visual aspects of the product.,True
AER3XVU3ZI3RCFSZFHTTXAMXMPUQ_1621465420259,5,129,fail,0,,fail,Review does not describe the product's visual appearance.,True
AHLKQ7MD34R742AHPA5JAHXH66XA_1524606907415,5,129,pass,2,light;pieces,fail,No visual description of the product's appearance or features.,False
AG57JQ4RR2SJOK67FVX6ZA5DYFMA_1604634992595,5,27,fail,1,beautiful,fail,Review lacks any visual description of the product.,True
AHOWIFNGGDBAL6HYM5QIZJ6A4QJQ_1607101255445,5,67,fail,1,beautiful,fail,Review lacks specific visual descriptions of the product's appearance.,True
AG5YEBZ5ILQC7B7ISSW233ANGHBA_1517328827667,5,237,pass,3,beautiful;gorgeous;looking,fail,Review lacks specific visual details about the chess set's appearance.,False
AGDMHKXYN3QFCXTUZNMF4PE4OD4A_1532556264089,5,94,pass,3,pictures;pieces;shows,fail,Review does not describe the product's visual appearance.,False
AHYJEWHQE667IBDN7EMU4FG2FZ7Q_1453072421000,5,61,fail,0,,fail,Review does not describe the product's appearance or visual details.,True
AGI7SOOK7TC3CMJ5LORVH2DWNHMA_1537470150194,5,76,fail,0,,fail,Review lacks specific visual descriptions of the product's appearance.,True
AECPAVK4YNA6TJ2LYB4AYP2VEGBQ_1443363056000,5,49,fail,0,,fail,Review does not describe the product's appearance or visual details.,True
AFNJU4XQ7ETY4QDNMSYWHK5AEAYA_1533174283685,5,22,fail,1,beautiful,fail,The review does not provide any visual description of the product.,True
AG5RVDQ6L3JDTRDVFJ4ME4BPW3PQ_1630180552140,5,335,fail,1,beautiful,fail,Review praises beauty but lacks specific visual details about the chess set.,True
AF36Y2WZHMLWJJTN7ZDHMERZG6PA_1604798113247,5,139,pass,2,board;details,fail,Review lacks specific visual descriptions of the product's appearance.,False
AGF77R67XOXQ2U5IKID5I4SCHHRA_1642559635413,5,824,pass,9,board;designed;display;inside;light;lined;pieces;plastic;thin,fail,"Review focuses on functionality and personal preferences, lacking visual descriptions.",False
AFHKDCJCJXDQOFDMSGPAWVHE5HBQ_1506594730061,5,297,pass,4,board;light;pieces;pretty,fail,Review lacks specific visual descriptions of the chess set.,False
