parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0BZ1FYWRH,KitchenAid KP26M1XOB 6 Qt. Professional 600 Series Bowl-Lift Stand Mixer - Onyx Black,866,4.6,Amazon Home,KitchenAid,,https://m.media-amazon.com/images/I/71dAT+SKZCL._AC_SL1500_.jpg,True,OK (image/jpeg),"The Professional 600 Series 6-Quart Bowl-Lift Stand Mixer is perfect for heavy, dense mixtures. Burnished metal flat beater, PowerKnead Spiral dough hook and 6-wire whisk will help you mix, knead and ..."
B09N3LFKLP,"Stand Mixer, Litchi 6-Speed 7 Qt Kitchen Electric Food Mixer, Tilt-Head Household Stand Mixer with Splash Guard, Dough Hook, Whisk, Flat Beater, Mixing Beater, for Different Cooking Styles - Silver",865,4.2,Amazon Home,LITCHI,,https://m.media-amazon.com/images/I/61EVWtSdFIL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07V2XKMS8,"Flex Edge Beater for Kitchenaid Mixer Accessory,Kitchen Aid Attachments for Mixer,Fits Tilt-Head Stand Mixers for 4.5-5 Quart Bowls,Flat Beater Paddle with Both-Sides Flexible Silicone Edges by COOKRA",797,4.6,Amazon Home,COOKRA,20.79,https://m.media-amazon.com/images/I/51cJULxZosL._AC_SL1200_.jpg,True,OK (image/jpeg),"Flex Edge Beater for Kitchenaid Mixer 4.5-5 Quart Tilt-Head Stand Mixer,Mixer Parts & Accessories High Quality Material,Sturdy metal alloy frame offers high stability and power for heavy mixing jobs H..."
B082KCB3V8,"Flex Edge Beater For KitchenAid,Cofun Kitchenaid Mixer Accessories, Fits KitchenAid Tilt-Head Stand Mixer For 4.5-5 Quart Bowls, Flat Beater With Flexible Edges, White",793,4.4,Amazon Home,Cofun,,https://m.media-amazon.com/images/I/61vRQQeBlkL._AC_SL1500_.jpg,True,OK (image/jpeg),"Cofun Flex Edge Beater for Kitchenaid Mixer 4.5-5 Quart Tilt-Head Stand Mixer, Mixer Parts & AccessoriesFood grade die-cast aluminum with Whitford Teflon coating and outer edge wrapped silicone rubber..."
B08FXFSBW6,"Luxja Clear Front Panel Dust Cover Compatible with 6-8 Quart KitchenAid Mixers, Dust Cover with Top Handle for Stand Mixer and Extra Attachments (Fit for All 6-8 Quart Stand Mixer), Gray Dots",708,4.6,Amazon Home,LUXJA,17.99,https://m.media-amazon.com/images/I/718vJyDoa5L._AC_SL1500_.jpg,True,OK (image/jpeg),
B082KJGXNP,"Pasta Attachment for Kitchenaid Stand Mixer,Cofun 3 Piece Pasta Maker Machine with Pasta Roller and Cutter Set for Dough Sheet, Spaghetti and Fettuccine kitchenaid Attachments for Mixer",683,4.5,Amazon Home,Cofun,79.99,https://m.media-amazon.com/images/I/71e+7RhhEGL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08DCDYJF4,"Yarwo Stand Mixer Cover Compatible with 4.5 qt and All 5 qt KitchenAid Mixer, Protective Dust Cover with Top Handle and Pockets for Accessories, Black with Grid",646,4.7,Amazon Home,Yarwo,16.99,https://m.media-amazon.com/images/I/7188-Z+HehL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09YH8V7S1,"CHeflee Stand Mixer, 6 Quart, 600W 6+P Speed Household Electric Food Mixer with 6 Accessories for Dough, Cream, Cake, Kitchen Electric Mixer, Lavender",570,4.5,Amazon Home,CHeflee,149.99,https://m.media-amazon.com/images/I/71DK0e0GihL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08QJD1ZXY,"Stand Mixer Dust-proof Cover for KitchenAid Mixer，Multi Pockets for Various Kitchen Appliance Accessories，Water-resistant，Easy Cleaning (Wine red, Fit for Tilt Head 4.5-5 Quart)",545,4.8,Amazon Home,HOHUO,16.99,https://m.media-amazon.com/images/I/81p2AqnFC-L._AC_SL1500_.jpg,True,OK (image/jpeg),"Protect your valuable stand mixer from erosive kitchen vapor, dust or lampblack! Sturdy, plain water-resistant nylon fabric with neat stitches effectively wards off dings, scratches, dust and food spl..."
B096TTJN4Q,"COKLAI Stand Mixer, 10 Speeds Tilt-Head 660W Food Mixer, 7.3-QT Electric Mixer with Stainless Steel Mixing Bowl, Kitchen Mixer with Dough Hook, Flat Beater, Wire Whisk and Splash Guard, Applicable to Baking, Cakes, Cookies for Most Home Cooks",500,4.4,Amazon Home,COKLAI,,https://m.media-amazon.com/images/I/71matteDJEL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07KMN9DKR,KitchenAid Professional 5 Plus Series Stand Mixers - Black Matte (Renewed),466,4.7,Amazon Home,Amazon Renewed,,https://m.media-amazon.com/images/I/61vj4RxN9cL._AC_SL1500_.jpg,,not checked,"The Professional 5 Plus has a powerful 450-watt motor that delivers enough power to handle the heaviest mixtures, and mixes large batches easily. This special bowl lift model has brackets on the bowl ..."
B001567BFU,"KitchenAid Pro 500 Series 10-Speed 5-Quart Stand Mixer, Empire Red",426,4.7,Amazon Home,KitchenAid,499.87,https://m.media-amazon.com/images/I/81fo3Q4WHmL._AC_SL1500_.jpg,,not checked,"KitchenAid's Professional 500 Stand Mixer is a substantial piece of equipment. The High Performance 325 watt motor delivers enough power to handle the heaviest mixtures, and mix large batches easily. ..."
B0BD51FR3B,"Stand Mixer, 6QT Tilt-Head Food Mixer, 600W Kitchen Electric Mixer, 6-Speed Tilt-Head Food Mixer with Dough Hook, Wire Whip & Beater, Grey",404,4.4,Amazon Home,Petalirs,129.99,https://m.media-amazon.com/images/I/61gt6tt9HiL._AC_SL1500_.jpg,,not checked,
