parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0BGQM98MJ,"IMS Precision 20 g filter basket B62.52TH26E compatible with 54mm Breville Sage Espresso machines Express, Bambino, Bambino Plus, Barista Pro",902,4.5,Amazon Home,verybarista,24.9,https://m.media-amazon.com/images/I/51VAQrNgAKL._AC_SL1024_.jpg,True,OK (image/jpeg),"IMS Precision Filter Basket B62.52TH26E specifically designed for 54mm Breville and Sage Espresso machines. Fits Express, Bambino, Bambino Plus, Barista Pro BES450, BES500, BES880, BES810BSS, BES860XL..."
B096JMBLF3,"Nespresso Vertuo Next Coffee and Espresso Machine by De'Longhi with Milk Frother, Limited Edition,18 ounces, Matte Black",862,3.7,Amazon Home,Nespresso,,https://m.media-amazon.com/images/I/71vr6bunEUL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08GK8D3ZJ,"Barsetto Espresso Machines 20 Bar Fast Heating Automatic Cappuccino Coffee Maker with Foaming Milk Frother Wand for Espresso, Latte Macchiato, 1.2L Removable Water Tank, 1350W, White",793,4.0,Amazon Home,Barsetto,,https://m.media-amazon.com/images/I/61KFn+Sk4ZL._AC_SL1394_.jpg,True,OK (image/jpeg),
B09LVYZZKS,"Quick & Clean 4-Pack of Cleaning Cups with Descaler Bundle (2 Total Uses) - 2.0 Compatible, Descaling Solution for Keurig, Nespresso, Ninja, Delonghi, All Coffee and Espresso Machines",749,4.2,Health & Personal Care,Quick & Clean,15.95,https://m.media-amazon.com/images/I/81FXvOdV4pL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BJYL5FGN,"De’Longhi La Specialista Arte EC9155MB, Espresso Machine with Grinder, Bean to Cup Coffee & Cappuccino Maker with Professional Steamer, My Latte Art Milk Frother,Barista SS Kit Included, 1450W, Metal",726,4.3,Amazon Home,De'Longhi,615.76,https://m.media-amazon.com/images/I/81vh7lW9L6L._AC_SL1500_.jpg,True,OK (image/jpeg),"Explore the art of espresso made right, effortlessly, with the refined features of La Specialista Arte from De'Longhi. Created for the hands-on home barista, this compact and stylishly designed machin..."
B08PD572M7,"Gevi Portable Manual Espresso Machines Espresso Machines 20 Bar Fast Heating Automatic Cappuccino Coffee Maker with Foaming Milk Frother Wand for Espresso, Latte Macchiato, 1.2L Removable Water Tank, 1350W, White",726,4.0,Amazon Home,Barsetto,,https://m.media-amazon.com/images/I/71g7s1f+UdL._AC_SL1498_.jpg,True,OK (image/jpeg),Portable Manual Espresso Machines
B074KQ31YT,"Gevi Cold Brew Iced Coffee-Maker Espresso Machine 15 Bar Pump Pressure, Expresso Coffee Machine With Milk Frother Steam Wand, Espresso and Cappuccino Maker, 1.5L Water Tank, For Home Barista, 1100W, Black",706,4.7,Amazon Home,Gevi,199.99,https://m.media-amazon.com/images/I/71Zg9NP69VL._AC_SL1482_.jpg,True,OK (image/jpeg),
B096J9B324,"Nespresso VertuoPlus Coffee and Espresso Machine by De'Longhi with Milk Frother, 40 ounces,Cherry Red",663,4.7,Amazon Home,De'Longhi,164.25,https://m.media-amazon.com/images/I/71J9xp3CSQL._AC_SL1500_.jpg,True,OK (image/jpeg),The Nespresso VertuoPlus coffee and espresso machine brews 4 single-serve cup sizes just with the touch of a button. Each machine includes a complimentary welcome set with a range of Nespresso Vertuo ...
B08R6PBTDD,"IMPRESA [20 Pack] Espresso Machine Descaler Tablets to Remove Mineral Build Up Descaling Tablets intended for Breville, Jura, Miele, and Other Espresso Makers - Descale Espresso Cleaning Tablets",620,4.1,Health & Personal Care,IMPRESA,10.99,https://m.media-amazon.com/images/I/71VCebzI-9L._AC_SL1500_.jpg,True,OK (image/jpeg),
B0B69PNBHJ,Highball & Chaser Premium Coffee Mat 18in x 12in. 1cm Thick Durable Kitchen Counter-Coffee Bar Accessories Fit Under Coffee Maker Coffee Pot Espresso Machine Mat,602,4.8,Amazon Home,Highball & Chaser,24.99,https://m.media-amazon.com/images/I/71kalnpbGJL._AC_SL1500_.jpg,True,OK (image/jpeg),
B096JR6KJ9,"Nespresso Gran Lattissima Espresso Machine by De'Longhi, 1000ml, White",480,4.0,Amazon Home,Nespresso,599.99,https://m.media-amazon.com/images/I/71LVsB+v-IL._AC_SL1500_.jpg,,not checked,"Experience the height of Coffee indulgence with the touch of a button with the new, beautifully designed Nespresso Gran Lattissima. Featuring 9 one-touch recipes and brand new, patented fresh milk sys..."
B08L8XJ8DN,Coffee Mat Greek Lemon Coffee Bar Accessories for Coffee Maker Coffee Machine Coffee Pot Espresso Machine Dish Rack Absorbent Dish Drying Mat Dishes Drainer Pad 16 x 18 Inch,436,4.6,Amazon Home,ALAZA,15.99,https://m.media-amazon.com/images/I/71dQRSiDH8L._AC_SL1500_.jpg,,not checked,
B0B21HM7LK,"Philips Saeco Xelsis Super Automatic Espresso Machine - LatteDuo Milk System, 15 Coffee Varieties, 8 User Profiles, Touch Screen, Stainless Steel, (SM7685/04)",378,4.0,Amazon Home,Philips Kitchen Appliances,2149.06,https://m.media-amazon.com/images/I/61S3poTzaQL._AC_SL1500_.jpg,,not checked,"Saeco Xelsis Super-automatic espresso machine is a bean to cup coffee machine with a CSA badge, so you know you are getting the best parts of your cofee beans with each grind. Personalise every cup an..."
B0C286JV8G,"CERA+ Portable Mini Espresso Machine, 12V/24V Rechargeable Car Coffee Maker with Self-Heating, 20 Bar Pressure Compatible with NS Pods & Ground Coffee for Travel, Camping, Office, Home",350,4.0,Amazon Home,CERA+,129.0,https://m.media-amazon.com/images/I/61WKg3TbxQL._AC_SL1500_.jpg,,not checked,
B08L6J9C8N,"Nespresso VertuoPlus Coffee and Espresso Machine by Breville,8 ounce,Grey",333,4.3,Amazon Home,Breville,159.0,https://m.media-amazon.com/images/I/71mgVqsz1tL._AC_SL1500_.jpg,,not checked,"Nespresso introduces the VertuoPlus coffee machine using Centrifusion™ technology to create the ultimate brewing experience. Just insert a capsule and close the lever — when activated, the machine rea..."
B09Z5ZLM6H,"Bestpresso Espresso Machine Single Serve Coffee Maker, Compatible with Nespresso Orignial. Programmable Buttons for Espresso Pods. Premium Italian 19 Bar High Pressure Pump (Red)",300,4.2,Amazon Home,Bestpresso,79.99,https://m.media-amazon.com/images/I/71BJBo6DRCL._AC_SL1500_.jpg,,not checked,
B071Z2G7Q2,Gourmia GCM5100 One Touch Multi Capsule Coffee & Espresso Machine - Single Serve - Compatible with K-Cup Pods & Nespresso - Adjustable Brew Temperature & Size - Digital Display - 1450W - Silver,214,3.3,Amazon Home,Gourmia,,https://m.media-amazon.com/images/I/81i57-1rmTL._AC_SL1500_.jpg,,not checked,"Welcome to the revolution You’ll never need another coffee machine!  This Gourmia GCM5100 is the first to feature incredibly versatile, multi-capsule compatibility. Brewing is stupidly simple, and eli..."
B08LP63J3D,Backflush Disc – Blind Insert for Espresso Machine – Food-Grade Silicone – 3 Size Variations – Compatible with Cleaning Tablets and Powder – Wide Compatibility – (58mm),178,4.6,Amazon Home,MacMaxe,7.98,https://m.media-amazon.com/images/I/61UEbRiy1BL._AC_SL1500_.jpg,,not checked,
B000W0OFW2,"Nespresso C100-US-AERO Essenza Automatic Single-Serve Espresso Machine with Nespresso Aeroccino Milk Frother, Titanium",153,4.1,Amazon Home,Nespresso,,https://m.media-amazon.com/images/I/81jec0U1NNL._AC_SL1500_.jpg,,not checked,"With its unique extraction system designed specifically for coffee-filled capsules, this single-serve automatic espresso machine prepares a perfect cup of espresso every time. The unit perforates the ..."
B0915VTZPX,"Geek Chef Espresso Machines,Espresso Maker for home, Latte & Cappuccino Maker, 20 Bar Pump Pressure and Milk Frother Steam Wand,Stainless steel",135,4.0,Amazon Home,Geek Chef,338.5,https://m.media-amazon.com/images/I/71DrlqfmHEL._AC_SL1500_.jpg,,not checked,
B08CKRFZKF,"TIMEMORE Chestnut C3 Manual Coffee Grinder, Entry Level Espresso Hand Burr Grinder, Multi Grind Level for Espresso Machine Maker Pour-Over French Press V60 Chemex Moka Pot Aeropress, S2C Burr, Black",117,4.4,Amazon Home,ElephantNum,83.0,https://m.media-amazon.com/images/I/513EQJD3URL._AC_SL1000_.jpg,,not checked,
B008ORW1VM,DeLonghi BCO130T Combination Coffee/Espresso Machine,117,3.4,Amazon Home,De'Longhi,,https://m.media-amazon.com/images/I/41HY7TTAFDL._AC_.jpg,,not checked,"The DeLonghi Combination Espresso/Coffee machine is an all-in-one machine that can brew coffee and espresso simultaneously. This machine can also prepare a great cappuccino, latte or hot chocolate for..."
B0C3LLJ7B4,"IAHAUCH Espresso Machines 20 Bar 1050W Brewing Pressure Latte Cappuccino Machine, Expresso Coffee Machine with Milk Frother, 1.5L/50Oz Detachable Water Tank, Coffee Maker for Macchiato, Latte",112,4.4,Amazon Home,IAHAUCH,89.97,https://m.media-amazon.com/images/I/61mn4GQ7c-L._AC_SL1500_.jpg,,not checked,
B09HJY85WC,"Espresso Machine 20 Bar Coffee Machine With Foaming Milk Frother Wand, High Performance 1300W For Espresso, Cappuccino, Latte, Machiato, For Home Barista, No-Leaking 900ml Removable Water Tank Coffee Maker",111,4.2,Amazon Home,EQK,,https://m.media-amazon.com/images/I/61Nu6wki5vL._AC_SL1500_.jpg,,not checked,
B09JRYMR29,"CYETUS All in One Espresso Machine for Home Barista CYK7601, Coffee Grinder, Milk Steam Frother Wand, for Espresso, Cappuccino and Latte, Black",108,3.4,Amazon Home,CYETUS,399.0,https://m.media-amazon.com/images/I/71Rvt+nIaNL._AC_SL1500_.jpg,,not checked,
B0BFH7V73L,"WACACO Minipresso NS2 Portable Espresso Machine, New Generation of the Minipresso NS, Manually Operated Coffee Maker, Compatible with Nespresso Original Capsules and Compatibles (NS Capsules)",107,4.5,Amazon Home,WACACO,59.9,https://m.media-amazon.com/images/I/61oTXkZPkJL._AC_SL1500_.jpg,,not checked,
B087X5M5LJ,AmazonCommercial Barista Espresso Machine with Grinder,102,3.8,Industrial & Scientific,AmazonCommercial,,https://m.media-amazon.com/images/I/818NTD9t-DL._SL1500_.jpg,,not checked,An Amazon Brand
B09YW4741K,"Nespresso Vertuo Next Deluxe Coffee and Espresso Machine by Breville, Matte Black Chrome",102,4.2,Amazon Home,Breville,156.75,https://m.media-amazon.com/images/I/51YXS3D7PcL._AC_SL1500_.jpg,,not checked,The next big cup is here with Vertuo Next. Vertuo’s innovative brewing system recognizes each capsule and automatically adjusts its brewing parameters to consistently create its signature full-bodied ...
B00004RHQA,Briel ES35AF Chamonix Pump Espresso Machine With Auto Espresso Flow,102,3.4,Amazon Home,Briel,,https://m.media-amazon.com/images/I/41WF193GR7L._AC_.jpg,,not checked,"Product Description Briel is Europe's largest manufacturer of pump-driven espresso machines, and this model is the best selling of their line. It's been rated a ""Best Buy,"" by a consumer testing publi..."
